Date	Year	state_name	Num_Institutions	Total_Assets	Num_Offices	Depoits($000)	HHI
06-30-2005	2005	Federated States Of Micronesia	2	874,868	6	119,129	5,081.4960
06-30-2005	2005	Florida	349	4,133,699,290	5,081	342,820,553	911.0507
06-30-2005	2005	Georgia	367	2,691,307,031	2,642	149,441,881	825.7281
06-30-2005	2005	Guam	7	729,506,986	32	1,640,392	2,172.2140
06-30-2005	2005	Hawaii	10	75,065,332	285	24,782,748	2,293.4413
06-30-2005	2005	Idaho	33	2,247,429,489	489	15,124,679	972.1348
06-30-2005	2005	Illinois	760	3,858,983,123	4,646	303,650,917	371.4929
06-30-2005	2005	Indiana	223	2,320,681,727	2,345	84,542,609	392.1298
06-30-2005	2005	Iowa	432	1,900,568,082	1,577	50,984,106	192.7722
06-30-2005	2005	Kansas	388	1,507,237,208	1,505	48,303,829	206.6163
06-30-2005	2005	Kentucky	257	1,841,450,306	1,750	57,240,549	290.1491
06-30-2005	2005	Louisiana	172	1,237,526,544	1,547	57,069,067	891.2485
06-30-2005	2005	Maine	40	1,220,551,874	507	18,152,348	724.3641
06-30-2005	2005	Marshall Islands	1	793,441	1	40,029	10,000.0000
06-30-2005	2005	Maryland	144	2,195,887,882	1,707	88,936,439	729.6294
06-30-2005	2005	Massachusetts	208	1,476,591,403	2,131	172,204,954	817.1042
06-30-2005	2005	Michigan	195	1,960,123,278	3,057	139,351,177	726.4167
06-30-2005	2005	Minnesota	496	813,717,706	1,763	96,053,684	1,312.3467
06-30-2005	2005	Mississippi	110	879,140,738	1,136	35,047,286	584.6321
06-30-2005	2005	Missouri	399	1,567,913,563	2,225	92,764,585	421.8891
06-30-2005	2005	Montana	85	635,672,843	370	12,565,370	538.7476
06-30-2005	2005	Nebraska	275	715,739,308	1,021	33,414,216	416.3121
06-30-2005	2005	Nevada	54	2,429,404,919	501	48,231,644	1,065.4800
06-30-2005	2005	New Hampshire	42	1,201,269,758	425	29,608,008	1,636.0275
06-30-2005	2005	New Jersey	171	3,919,915,700	3,222	222,555,492	636.7402
06-30-2005	2005	New Mexico	67	1,594,042,473	498	19,667,333	901.5349
06-30-2005	2005	New York	239	4,734,920,842	4,942	695,494,565	1,203.2297
06-30-2005	2005	North Carolina	133	2,032,007,028	2,544	184,217,714	2,154.0300
06-30-2005	2005	North Dakota	107	687,375,447	422	12,191,909	381.0032
06-30-2005	2005	Northern Mariana Islands	4	22,707,222	10	514,255	3,226.3935
06-30-2005	2005	Ohio	298	2,169,496,641	3,994	201,186,830	710.1017
06-30-2005	2005	Oklahoma	287	2,197,766,287	1,280	48,333,471	338.6622
06-30-2005	2005	Oregon	57	2,422,199,278	1,044	42,284,439	1,061.7783
06-30-2005	2005	Palau	2	875,602	2	25,362	5,622.1009
06-30-2005	2005	Pennsylvania	283	2,293,731,699	4,643	225,237,756	546.0388
06-30-2005	2005	Puerto Rico	12	810,645,298	562	53,753,634	1,464.3114
06-30-2005	2005	Rhode Island	25	1,204,189,401	240	21,825,763	2,453.8515
06-30-2005	2005	South Carolina	106	1,886,308,271	1,289	53,843,851	814.0751
06-30-2005	2005	South Dakota	97	736,520,570	459	42,101,939	4,569.3746
06-30-2005	2005	Tennessee	225	2,275,054,519	2,113	95,586,754	844.0339
06-30-2005	2005	Texas	721	4,298,946,043	5,863	356,111,552	655.5512
06-30-2005	2005	Utah	78	2,341,466,109	594	118,113,846	2,248.1654
06-30-2005	2005	Vermont	25	190,709,363	276	9,517,400	1,386.3052
06-30-2005	2005	Virgin Islands Of The U.S.	0	-	-	-	-
06-30-2005	2005	Virginia	169	2,289,475,267	2,438	155,263,742	755.6446
